study,inference_status,run_id,benchmark,model,active_arm,probe,burden_axis,display_order,n_tasks,clean_success,active_success,effect,effect_percentage_points,ci_low,ci_high,ci_low_percentage_points,ci_high_percentage_points,point_sign,strict_ci_sign,ci_excludes_zero,confidence,bootstrap_iterations,bootstrap_seed,bootstrap_unit
exploratory_mechanism,exploratory_mechanism_screen,e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,deepseek-v4-flash-0731,active_name_copy,current copy,direct copy,0,20,0.7,0.5,-0.2,-20.0,-0.4,-0.05,-40.0,-5.0,negative,negative,True,0.95,2000,12012,task
exploratory_mechanism,exploratory_mechanism_screen,e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,deepseek-v4-flash-0731,active_name_recall,initial recall,memory,1,20,0.7,0.2,-0.5,-50.0,-0.7,-0.3,-70.0,-30.0,negative,negative,True,0.95,2000,12012,task
exploratory_mechanism,exploratory_mechanism_screen,e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,deepseek-v4-flash-0731,active_counter,stateful counter,memory + update,2,20,0.7,0.05,-0.65,-65.0,-0.85,-0.45,-85.0,-45.0,negative,negative,True,0.95,2000,12012,task
exploratory_mechanism,exploratory_mechanism_screen,e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,deepseek-v4-flash-0731,active_recompute,recompute,reasoning,3,20,0.7,0.7,0.0,0.0,-0.20124999999999782,0.25,-20.124999999999783,25.0,zero,includes_zero,False,0.95,2000,12012,task
exploratory_mechanism,exploratory_mechanism_screen,e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-oss-120b,active_name_copy,current copy,direct copy,0,20,0.65,0.55,-0.1,-10.0,-0.35,0.15,-35.0,15.0,negative,includes_zero,False,0.95,2000,12012,task
exploratory_mechanism,exploratory_mechanism_screen,e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-oss-120b,active_name_recall,initial recall,memory,1,20,0.65,0.55,-0.1,-10.0,-0.3,0.1,-30.0,10.0,negative,includes_zero,False,0.95,2000,12012,task
exploratory_mechanism,exploratory_mechanism_screen,e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-oss-120b,active_counter,stateful counter,memory + update,2,20,0.65,0.35,-0.3,-30.0,-0.55,-0.05,-55.00000000000001,-5.0,negative,negative,True,0.95,2000,12012,task
exploratory_mechanism,exploratory_mechanism_screen,e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-oss-120b,active_recompute,recompute,reasoning,3,20,0.65,0.55,-0.1,-10.0,-0.35,0.15,-35.0,15.0,negative,includes_zero,False,0.95,2000,12012,task
exploratory_mechanism,exploratory_mechanism_screen,e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,qwen3p7-plus,active_name_copy,current copy,direct copy,0,20,0.7,0.7,0.0,0.0,-0.15,0.15,-15.0,15.0,zero,includes_zero,False,0.95,2000,12012,task
exploratory_mechanism,exploratory_mechanism_screen,e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,qwen3p7-plus,active_name_recall,initial recall,memory,1,20,0.7,0.8,0.1,10.0,-0.15,0.35,-15.0,35.0,positive,includes_zero,False,0.95,2000,12012,task
exploratory_mechanism,exploratory_mechanism_screen,e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,qwen3p7-plus,active_counter,stateful counter,memory + update,2,20,0.7,0.65,-0.05,-5.0,-0.2,0.1,-20.0,10.0,negative,includes_zero,False,0.95,2000,12012,task
exploratory_mechanism,exploratory_mechanism_screen,e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,qwen3p7-plus,active_recompute,recompute,reasoning,3,20,0.7,0.75,0.05,5.0,-0.1,0.2,-10.0,20.0,positive,includes_zero,False,0.95,2000,12012,task
exploratory_mechanism,exploratory_mechanism_screen,e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-luna,active_name_copy,current copy,direct copy,0,20,0.5,0.75,0.25,25.0,0.0,0.5,0.0,50.0,positive,includes_zero,False,0.95,2000,12012,task
exploratory_mechanism,exploratory_mechanism_screen,e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-luna,active_name_recall,initial recall,memory,1,20,0.5,0.75,0.25,25.0,0.1,0.45,10.0,45.0,positive,positive,True,0.95,2000,12012,task
exploratory_mechanism,exploratory_mechanism_screen,e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-luna,active_counter,stateful counter,memory + update,2,20,0.5,0.65,0.15,15.0,-0.05,0.35,-5.0,35.0,positive,includes_zero,False,0.95,2000,12012,task
exploratory_mechanism,exploratory_mechanism_screen,e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-luna,active_recompute,recompute,reasoning,3,20,0.5,0.75,0.25,25.0,0.0,0.5,0.0,50.0,positive,includes_zero,False,0.95,2000,12012,task
exploratory_mechanism,exploratory_mechanism_screen,e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,active_name_copy,current copy,direct copy,0,20,0.5,0.6,0.1,10.0,0.0,0.25,0.0,25.0,positive,includes_zero,False,0.95,2000,12012,task
exploratory_mechanism,exploratory_mechanism_screen,e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,active_name_recall,initial recall,memory,1,20,0.5,0.55,0.05,5.0,-0.15,0.25,-15.0,25.0,positive,includes_zero,False,0.95,2000,12012,task
exploratory_mechanism,exploratory_mechanism_screen,e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,active_counter,stateful counter,memory + update,2,20,0.5,0.55,0.05,5.0,-0.15,0.25,-15.0,25.0,positive,includes_zero,False,0.95,2000,12012,task
exploratory_mechanism,exploratory_mechanism_screen,e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,active_recompute,recompute,reasoning,3,20,0.5,0.4,-0.1,-10.0,-0.3,0.1,-30.0,10.0,negative,includes_zero,False,0.95,2000,12012,task
exploratory_mechanism,exploratory_mechanism_screen,e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,active_name_copy,current copy,direct copy,0,20,0.25,0.15,-0.1,-10.0,-0.3,0.1,-30.0,10.0,negative,includes_zero,False,0.95,2000,12012,task
