analysis_status,run_id,benchmark,model,mechanism,active_arm,probe_variant,clean_arm,n_tasks,clean_success,active_success,paired_success_effect,effect_definition,ci_low,ci_high,confidence,bootstrap_iterations,bootstrap_seed,bootstrap_unit,ci_relation_to_zero
exploratory_baseline_gate,e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-oss-120b,name-copy,active_name_copy,current_copy,clean,20,0.65,0.55,-0.1,active_minus_clean,-0.35,0.15,0.95,2000,12012,task,includes_zero
exploratory_baseline_gate,e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-oss-120b,name-recall,active_name_recall,initial_recall,clean,20,0.65,0.55,-0.1,active_minus_clean,-0.3,0.1,0.95,2000,12012,task,includes_zero
exploratory_baseline_gate,e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-oss-120b,counter,active_counter,stateful_counter,clean,20,0.65,0.35,-0.3,active_minus_clean,-0.55,-0.05,0.95,2000,12012,task,below_zero
exploratory_baseline_gate,e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-oss-120b,recompute,active_recompute,recompute,clean,20,0.65,0.55,-0.1,active_minus_clean,-0.35,0.15,0.95,2000,12012,task,includes_zero
exploratory_baseline_gate,e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,deepseek-v4-flash-0731,name-copy,active_name_copy,current_copy,clean,20,0.7,0.5,-0.2,active_minus_clean,-0.4,-0.05,0.95,2000,12012,task,below_zero
exploratory_baseline_gate,e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,deepseek-v4-flash-0731,name-recall,active_name_recall,initial_recall,clean,20,0.7,0.2,-0.5,active_minus_clean,-0.7,-0.3,0.95,2000,12012,task,below_zero
exploratory_baseline_gate,e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,deepseek-v4-flash-0731,counter,active_counter,stateful_counter,clean,20,0.7,0.05,-0.65,active_minus_clean,-0.85,-0.45,0.95,2000,12012,task,below_zero
exploratory_baseline_gate,e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,deepseek-v4-flash-0731,recompute,active_recompute,recompute,clean,20,0.7,0.7,0.0,active_minus_clean,-0.20124999999999782,0.25,0.95,2000,12012,task,includes_zero
exploratory_baseline_gate,e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,qwen3p7-plus,name-copy,active_name_copy,current_copy,clean,20,0.7,0.7,0.0,active_minus_clean,-0.15,0.15,0.95,2000,12012,task,includes_zero
exploratory_baseline_gate,e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,qwen3p7-plus,name-recall,active_name_recall,initial_recall,clean,20,0.7,0.8,0.1,active_minus_clean,-0.15,0.35,0.95,2000,12012,task,includes_zero
exploratory_baseline_gate,e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,qwen3p7-plus,counter,active_counter,stateful_counter,clean,20,0.7,0.65,-0.05,active_minus_clean,-0.2,0.1,0.95,2000,12012,task,includes_zero
exploratory_baseline_gate,e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,qwen3p7-plus,recompute,active_recompute,recompute,clean,20,0.7,0.75,0.05,active_minus_clean,-0.1,0.2,0.95,2000,12012,task,includes_zero
exploratory_baseline_gate,e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-luna,name-copy,active_name_copy,current_copy,clean,20,0.5,0.75,0.25,active_minus_clean,0.0,0.5,0.95,2000,12012,task,includes_zero
exploratory_baseline_gate,e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-luna,name-recall,active_name_recall,initial_recall,clean,20,0.5,0.75,0.25,active_minus_clean,0.1,0.45,0.95,2000,12012,task,above_zero
exploratory_baseline_gate,e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-luna,counter,active_counter,stateful_counter,clean,20,0.5,0.65,0.15,active_minus_clean,-0.05,0.35,0.95,2000,12012,task,includes_zero
exploratory_baseline_gate,e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-luna,recompute,active_recompute,recompute,clean,20,0.5,0.75,0.25,active_minus_clean,0.0,0.5,0.95,2000,12012,task,includes_zero
exploratory_baseline_gate,e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,name-copy,active_name_copy,current_copy,clean,20,0.5,0.6,0.1,active_minus_clean,0.0,0.25,0.95,2000,12012,task,includes_zero
exploratory_baseline_gate,e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,name-recall,active_name_recall,initial_recall,clean,20,0.5,0.55,0.05,active_minus_clean,-0.15,0.25,0.95,2000,12012,task,includes_zero
exploratory_baseline_gate,e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,counter,active_counter,stateful_counter,clean,20,0.5,0.55,0.05,active_minus_clean,-0.15,0.25,0.95,2000,12012,task,includes_zero
exploratory_baseline_gate,e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,recompute,active_recompute,recompute,clean,20,0.5,0.4,-0.1,active_minus_clean,-0.3,0.1,0.95,2000,12012,task,includes_zero
exploratory_baseline_gate,e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,name-copy,active_name_copy,current_copy,clean,20,0.25,0.15,-0.1,active_minus_clean,-0.3,0.1,0.95,2000,12012,task,includes_zero
exploratory_baseline_gate,e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,name-recall,active_name_recall,initial_recall,clean,20,0.25,0.2,-0.05,active_minus_clean,-0.2,0.1,0.95,2000,12012,task,includes_zero
exploratory_baseline_gate,e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,counter,active_counter,stateful_counter,clean,20,0.25,0.1,-0.15,active_minus_clean,-0.3,0.0,0.95,2000,12012,task,includes_zero
exploratory_baseline_gate,e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,recompute,active_recompute,recompute,clean,20,0.25,0.1,-0.15,active_minus_clean,-0.3,0.0,0.95,2000,12012,task,includes_zero
exploratory_baseline_gate,e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,qwen3p7-plus,name-copy,active_name_copy,current_copy,clean,20,0.35,0.35,0.0,active_minus_clean,-0.15,0.15,0.95,2000,12012,task,includes_zero
exploratory_baseline_gate,e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,qwen3p7-plus,name-recall,active_name_recall,initial_recall,clean,20,0.35,0.35,0.0,active_minus_clean,-0.15,0.15,0.95,2000,12012,task,includes_zero
exploratory_baseline_gate,e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,qwen3p7-plus,counter,active_counter,stateful_counter,clean,20,0.35,0.35,0.0,active_minus_clean,-0.15,0.15,0.95,2000,12012,task,includes_zero
exploratory_baseline_gate,e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,qwen3p7-plus,recompute,active_recompute,recompute,clean,20,0.35,0.35,0.0,active_minus_clean,-0.15,0.15,0.95,2000,12012,task,includes_zero
exploratory_baseline_gate,e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-5.6-luna,name-copy,active_name_copy,current_copy,clean,20,0.25,0.2,-0.05,active_minus_clean,-0.2,0.1,0.95,2000,12012,task,includes_zero
exploratory_baseline_gate,e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-5.6-luna,name-recall,active_name_recall,initial_recall,clean,20,0.25,0.15,-0.1,active_minus_clean,-0.25,0.0,0.95,2000,12012,task,includes_zero
exploratory_baseline_gate,e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-5.6-luna,counter,active_counter,stateful_counter,clean,20,0.25,0.25,0.0,active_minus_clean,-0.15,0.15,0.95,2000,12012,task,includes_zero
exploratory_baseline_gate,e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-5.6-luna,recompute,active_recompute,recompute,clean,20,0.25,0.4,0.15,active_minus_clean,0.0,0.3,0.95,2000,12012,task,includes_zero
exploratory_baseline_gate,e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-5.6-terra,name-copy,active_name_copy,current_copy,clean,20,0.35,0.25,-0.1,active_minus_clean,-0.25,0.0,0.95,2000,12012,task,includes_zero
exploratory_baseline_gate,e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-5.6-terra,name-recall,active_name_recall,initial_recall,clean,20,0.35,0.3,-0.05,active_minus_clean,-0.15,0.0,0.95,2000,12012,task,includes_zero
exploratory_baseline_gate,e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-5.6-terra,counter,active_counter,stateful_counter,clean,20,0.35,0.3,-0.05,active_minus_clean,-0.25,0.1,0.95,2000,12012,task,includes_zero
exploratory_baseline_gate,e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-5.6-terra,recompute,active_recompute,recompute,clean,20,0.35,0.35,0.0,active_minus_clean,-0.15,0.15,0.95,2000,12012,task,includes_zero
