panel,analysis_role,paper_class,method,operator,control_operator,n_tasks,control_success,operator_success,effect,ci_low,ci_high,confidence,bootstrap_iterations,bootstrap_seed,bootstrap_unit,natural_action_task_rate,natural_action_checkpoint_rate,n38_point_sign_changed,n38_ci_relation_changed,n38_qualitative_changed,sensitivity_n38_effect,sensitivity_n38_ci_low,sensitivity_n38_ci_high
online_natural,primary_online_natural_policy,baseline,turn_clock,lossy_compaction,none,40,0.725,0.05,-0.675,-0.825,-0.525,0.95,2000,12012,paired_source_task,1.0,0.16666666666666666,False,False,False,-0.7105263157894737,-0.8421052631578947,-0.5526315789473685
online_natural,primary_online_natural_policy,baseline,turn_clock,public_state_reground,none,40,0.725,0.75,0.025,-0.075,0.125,0.95,2000,12012,paired_source_task,1.0,0.16666666666666666,False,False,False,0.02631578947368421,-0.07894736842105263,0.13157894736842105
online_natural,primary_online_natural_policy,baseline,turn_clock,good_bad_watch_feedback,none,40,0.725,0.775,0.05,-0.05,0.15,0.95,2000,12012,paired_source_task,1.0,0.16666666666666666,False,False,False,0.05263157894736842,-0.05263157894736842,0.15789473684210525
online_natural,primary_online_natural_policy,baseline,context_use,lossy_compaction,none,40,0.725,0.525,-0.2,-0.35,-0.075,0.95,2000,12012,paired_source_task,0.225,0.0375,False,False,False,-0.21052631578947367,-0.3684210526315789,-0.05263157894736842
online_natural,primary_online_natural_policy,baseline,context_use,public_state_reground,none,40,0.725,0.7,-0.025,-0.1,0.05,0.95,2000,12012,paired_source_task,0.225,0.0375,False,False,False,-0.02631578947368421,-0.10526315789473684,0.05263157894736842
online_natural,primary_online_natural_policy,baseline,context_use,good_bad_watch_feedback,none,40,0.725,0.725,0.0,-0.1,0.1,0.95,2000,12012,paired_source_task,0.275,0.04583333333333333,False,False,False,0.0,-0.10526315789473684,0.10526315789473684
online_natural,primary_online_natural_policy,active,active_recompute,lossy_compaction,none,40,0.725,0.725,0.0,-0.1,0.1,0.95,2000,12012,paired_source_task,1.0,0.16666666666666666,False,False,False,0.0,-0.10526315789473684,0.10526315789473684
online_natural,primary_online_natural_policy,active,active_recompute,public_state_reground,none,40,0.725,0.85,0.125,0.025,0.2256249999999966,0.95,2000,12012,paired_source_task,1.0,0.16666666666666666,False,False,False,0.13157894736842105,0.05197368421052748,0.23684210526315788
online_natural,primary_online_natural_policy,active,active_recompute,good_bad_watch_feedback,none,40,0.725,0.725,0.0,-0.1,0.1,0.95,2000,12012,paired_source_task,1.0,0.16666666666666666,True,False,True,0.02631578947368421,-0.05263157894736842,0.10526315789473684
online_natural,primary_online_natural_policy,passive,frozen_probe:recompute,lossy_compaction,none,40,0.725,0.8,0.075,0.0,0.175,0.95,2000,12012,paired_source_task,1.0,0.16666666666666666,False,False,False,0.07894736842105263,0.0,0.18421052631578946
online_natural,primary_online_natural_policy,passive,frozen_probe:recompute,public_state_reground,none,40,0.725,0.775,0.05,-0.05,0.15,0.95,2000,12012,paired_source_task,1.0,0.16666666666666666,False,False,False,0.05263157894736842,-0.05263157894736842,0.15789473684210525
