reference_class,reference_method,comparison_class,comparison_method,operator,control_operator,metric,unit,n_tasks,effect,ci_low,ci_high,effect_definition,confidence,bootstrap_iterations,bootstrap_seed,bootstrap_unit
active,active_recompute,passive,frozen_probe:recompute,lossy_compaction,none,success,proportion_points,40,0.075,-0.05,0.225,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
active,active_recompute,passive,frozen_probe:recompute,public_state_reground,none,success,proportion_points,40,-0.075,-0.2256249999999989,0.075,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
active,active_recompute,passive,frozen_probe:recompute,good_bad_watch_feedback,none,success,proportion_points,40,0.025,-0.125,0.15,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
active,active_recompute,passive,frozen_quiz,lossy_compaction,none,success,proportion_points,40,-0.3,-0.5,-0.125,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
active,active_recompute,passive,frozen_quiz,public_state_reground,none,success,proportion_points,40,-0.2,-0.35,-0.075,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
active,active_recompute,passive,frozen_quiz,good_bad_watch_feedback,none,success,proportion_points,40,0.0,-0.15,0.125,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
active,active_recompute,passive,trace_judge,lossy_compaction,none,success,proportion_points,40,-0.025,-0.225,0.15,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
active,active_recompute,passive,trace_judge,public_state_reground,none,success,proportion_points,40,-0.15,-0.3,-0.025,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
active,active_recompute,passive,trace_judge,good_bad_watch_feedback,none,success,proportion_points,40,-0.05,-0.225,0.1,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
active,active_recompute,passive,trace_rules,lossy_compaction,none,success,proportion_points,40,0.025,-0.1,0.175,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
active,active_recompute,passive,trace_rules,public_state_reground,none,success,proportion_points,40,-0.15,-0.325,0.0,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
active,active_recompute,passive,trace_rules,good_bad_watch_feedback,none,success,proportion_points,40,0.075,-0.075,0.225,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
active,active_recompute,baseline,turn_clock,lossy_compaction,none,success,proportion_points,40,-0.675,-0.85,-0.5,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
active,active_recompute,baseline,turn_clock,public_state_reground,none,success,proportion_points,40,-0.1,-0.275,0.05,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
active,active_recompute,baseline,turn_clock,good_bad_watch_feedback,none,success,proportion_points,40,0.05,-0.075,0.2,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
active,active_recompute,baseline,context_use,lossy_compaction,none,success,proportion_points,40,-0.2,-0.375,-0.025,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
active,active_recompute,baseline,context_use,public_state_reground,none,success,proportion_points,40,-0.15,-0.275,-0.025,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
active,active_recompute,baseline,context_use,good_bad_watch_feedback,none,success,proportion_points,40,0.0,-0.1,0.1,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,passive,frozen_quiz,lossy_compaction,none,success,proportion_points,40,-0.375,-0.55,-0.225,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,passive,frozen_quiz,public_state_reground,none,success,proportion_points,40,-0.125,-0.25,0.0,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,passive,frozen_quiz,good_bad_watch_feedback,none,success,proportion_points,40,-0.025,-0.125,0.05,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,passive,trace_judge,lossy_compaction,none,success,proportion_points,40,-0.1,-0.225,0.025,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,passive,trace_judge,public_state_reground,none,success,proportion_points,40,-0.075,-0.225,0.075,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,passive,trace_judge,good_bad_watch_feedback,none,success,proportion_points,40,-0.075,-0.175,0.025,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,passive,trace_rules,lossy_compaction,none,success,proportion_points,40,-0.05,-0.15,0.05,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,passive,trace_rules,public_state_reground,none,success,proportion_points,40,-0.075,-0.2,0.05,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,passive,trace_rules,good_bad_watch_feedback,none,success,proportion_points,40,0.05,-0.075,0.175,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,baseline,turn_clock,lossy_compaction,none,success,proportion_points,40,-0.75,-0.9006249999999989,-0.6,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,baseline,turn_clock,public_state_reground,none,success,proportion_points,40,-0.025,-0.15,0.1,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,baseline,turn_clock,good_bad_watch_feedback,none,success,proportion_points,40,0.025,-0.075,0.15,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,baseline,context_use,lossy_compaction,none,success,proportion_points,40,-0.275,-0.425,-0.15,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,baseline,context_use,public_state_reground,none,success,proportion_points,40,-0.075,-0.2,0.025,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,baseline,context_use,good_bad_watch_feedback,none,success,proportion_points,40,-0.025,-0.15,0.125,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,frozen_quiz,passive,trace_judge,lossy_compaction,none,success,proportion_points,40,0.275,0.075,0.5,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,frozen_quiz,passive,trace_judge,public_state_reground,none,success,proportion_points,40,0.05,-0.075,0.175,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,frozen_quiz,passive,trace_judge,good_bad_watch_feedback,none,success,proportion_points,40,-0.05,-0.125,0.0,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,frozen_quiz,passive,trace_rules,lossy_compaction,none,success,proportion_points,40,0.325,0.175,0.5,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,frozen_quiz,passive,trace_rules,public_state_reground,none,success,proportion_points,40,0.05,-0.075,0.175,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,frozen_quiz,passive,trace_rules,good_bad_watch_feedback,none,success,proportion_points,40,0.075,-0.025,0.1756249999999966,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,frozen_quiz,baseline,turn_clock,lossy_compaction,none,success,proportion_points,40,-0.375,-0.55,-0.2,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,frozen_quiz,baseline,turn_clock,public_state_reground,none,success,proportion_points,40,0.1,-0.05,0.275,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,frozen_quiz,baseline,turn_clock,good_bad_watch_feedback,none,success,proportion_points,40,0.05,-0.075,0.175,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,frozen_quiz,baseline,context_use,lossy_compaction,none,success,proportion_points,40,0.1,-0.125,0.325,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,frozen_quiz,baseline,context_use,public_state_reground,none,success,proportion_points,40,0.05,-0.075,0.175,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,frozen_quiz,baseline,context_use,good_bad_watch_feedback,none,success,proportion_points,40,0.0,-0.125,0.15,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,trace_judge,passive,trace_rules,lossy_compaction,none,success,proportion_points,40,0.05,-0.075,0.2,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,trace_judge,passive,trace_rules,public_state_reground,none,success,proportion_points,40,0.0,-0.175,0.175,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,trace_judge,passive,trace_rules,good_bad_watch_feedback,none,success,proportion_points,40,0.125,0.0,0.275,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,trace_judge,baseline,turn_clock,lossy_compaction,none,success,proportion_points,40,-0.65,-0.825,-0.475,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,trace_judge,baseline,turn_clock,public_state_reground,none,success,proportion_points,40,0.05,-0.075,0.2,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,trace_judge,baseline,turn_clock,good_bad_watch_feedback,none,success,proportion_points,40,0.1,-0.05,0.275,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,trace_judge,baseline,context_use,lossy_compaction,none,success,proportion_points,40,-0.175,-0.325,-0.025,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,trace_judge,baseline,context_use,public_state_reground,none,success,proportion_points,40,0.0,-0.1,0.1,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,trace_judge,baseline,context_use,good_bad_watch_feedback,none,success,proportion_points,40,0.05,-0.075,0.2,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,trace_rules,baseline,turn_clock,lossy_compaction,none,success,proportion_points,40,-0.7,-0.85,-0.55,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,trace_rules,baseline,turn_clock,public_state_reground,none,success,proportion_points,40,0.05,-0.1,0.175,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,trace_rules,baseline,turn_clock,good_bad_watch_feedback,none,success,proportion_points,40,-0.025,-0.15,0.1,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,trace_rules,baseline,context_use,lossy_compaction,none,success,proportion_points,40,-0.225,-0.425,-0.05,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,trace_rules,baseline,context_use,public_state_reground,none,success,proportion_points,40,0.0,-0.175,0.15,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,trace_rules,baseline,context_use,good_bad_watch_feedback,none,success,proportion_points,40,-0.075,-0.25,0.075,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
baseline,turn_clock,baseline,context_use,lossy_compaction,none,success,proportion_points,40,0.475,0.3,0.65,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
baseline,turn_clock,baseline,context_use,public_state_reground,none,success,proportion_points,40,-0.05,-0.2,0.075,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
baseline,turn_clock,baseline,context_use,good_bad_watch_feedback,none,success,proportion_points,40,-0.05,-0.2,0.075,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
