analysis_role,paper_class,method,operator,metric,unit,n_tasks,mean,ci_low,ci_high,confidence,bootstrap_iterations,bootstrap_seed,bootstrap_unit
primary_online_natural_policy,active,active_recompute,none,success,proportion,40,0.725,0.575,0.875,0.95,2000,12012,paired_source_task
primary_online_natural_policy,active,active_recompute,lossy_compaction,success,proportion,40,0.725,0.575,0.85,0.95,2000,12012,paired_source_task
primary_online_natural_policy,active,active_recompute,public_state_reground,success,proportion,40,0.85,0.725,0.95,0.95,2000,12012,paired_source_task
primary_online_natural_policy,active,active_recompute,good_bad_watch_feedback,success,proportion,40,0.725,0.575,0.85,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,none,success,proportion,40,0.725,0.575,0.85,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,lossy_compaction,success,proportion,40,0.8,0.675,0.925,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,public_state_reground,success,proportion,40,0.775,0.625,0.9,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,good_bad_watch_feedback,success,proportion,40,0.75,0.625,0.875,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,none,success,proportion,40,0.75,0.6,0.875,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,lossy_compaction,success,proportion,40,0.45,0.3,0.6,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,public_state_reground,success,proportion,40,0.675,0.525,0.825,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,good_bad_watch_feedback,success,proportion,40,0.75,0.625,0.875,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,none,success,proportion,40,0.725,0.575,0.85,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,lossy_compaction,success,proportion,40,0.7,0.55,0.85,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,public_state_reground,success,proportion,40,0.7,0.55,0.825,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,good_bad_watch_feedback,success,proportion,40,0.675,0.525,0.825,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_rules,none,success,proportion,40,0.75,0.625,0.875,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_rules,lossy_compaction,success,proportion,40,0.775,0.65,0.9,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_rules,public_state_reground,success,proportion,40,0.725,0.575,0.85,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_rules,good_bad_watch_feedback,success,proportion,40,0.825,0.7,0.925,0.95,2000,12012,paired_source_task
primary_online_natural_policy,baseline,turn_clock,none,success,proportion,40,0.725,0.575,0.85,0.95,2000,12012,paired_source_task
primary_online_natural_policy,baseline,turn_clock,lossy_compaction,success,proportion,40,0.05,0.0,0.125,0.95,2000,12012,paired_source_task
primary_online_natural_policy,baseline,turn_clock,public_state_reground,success,proportion,40,0.75,0.6,0.875,0.95,2000,12012,paired_source_task
primary_online_natural_policy,baseline,turn_clock,good_bad_watch_feedback,success,proportion,40,0.775,0.65,0.9,0.95,2000,12012,paired_source_task
primary_online_natural_policy,baseline,context_use,none,success,proportion,40,0.725,0.575,0.85,0.95,2000,12012,paired_source_task
primary_online_natural_policy,baseline,context_use,lossy_compaction,success,proportion,40,0.525,0.35,0.675,0.95,2000,12012,paired_source_task
primary_online_natural_policy,baseline,context_use,public_state_reground,success,proportion,40,0.7,0.55,0.825,0.95,2000,12012,paired_source_task
primary_online_natural_policy,baseline,context_use,good_bad_watch_feedback,success,proportion,40,0.725,0.575,0.85,0.95,2000,12012,paired_source_task
