reference_class,reference_method,comparison_class,comparison_method,operator,metric,unit,n_tasks,reference_mean,comparison_mean,effect,ci_low,ci_high,effect_definition,confidence,bootstrap_iterations,bootstrap_seed,bootstrap_unit
active,active_recompute,passive,frozen_probe:recompute,none,success,proportion_points,40,0.725,0.725,0.0,-0.15,0.15,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
active,active_recompute,passive,frozen_probe:recompute,lossy_compaction,success,proportion_points,40,0.725,0.8,0.075,-0.025,0.175,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
active,active_recompute,passive,frozen_probe:recompute,public_state_reground,success,proportion_points,40,0.85,0.775,-0.075,-0.175,0.025,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
active,active_recompute,passive,frozen_probe:recompute,good_bad_watch_feedback,success,proportion_points,40,0.725,0.75,0.025,-0.075,0.125,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
active,active_recompute,passive,frozen_quiz,none,success,proportion_points,40,0.725,0.75,0.025,-0.1,0.15,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
active,active_recompute,passive,frozen_quiz,lossy_compaction,success,proportion_points,40,0.725,0.45,-0.275,-0.425,-0.15,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
active,active_recompute,passive,frozen_quiz,public_state_reground,success,proportion_points,40,0.85,0.675,-0.175,-0.3,-0.075,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
active,active_recompute,passive,frozen_quiz,good_bad_watch_feedback,success,proportion_points,40,0.725,0.75,0.025,-0.075,0.125,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
active,active_recompute,passive,trace_judge,none,success,proportion_points,40,0.725,0.725,0.0,-0.125,0.15,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
active,active_recompute,passive,trace_judge,lossy_compaction,success,proportion_points,40,0.725,0.7,-0.025,-0.175,0.125,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
active,active_recompute,passive,trace_judge,public_state_reground,success,proportion_points,40,0.85,0.7,-0.15,-0.3,-0.025,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
active,active_recompute,passive,trace_judge,good_bad_watch_feedback,success,proportion_points,40,0.725,0.675,-0.05,-0.2,0.075,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
active,active_recompute,passive,trace_rules,none,success,proportion_points,40,0.725,0.75,0.025,-0.125,0.175,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
active,active_recompute,passive,trace_rules,lossy_compaction,success,proportion_points,40,0.725,0.775,0.05,-0.025,0.15,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
active,active_recompute,passive,trace_rules,public_state_reground,success,proportion_points,40,0.85,0.725,-0.125,-0.225,-0.025,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
active,active_recompute,passive,trace_rules,good_bad_watch_feedback,success,proportion_points,40,0.725,0.825,0.1,0.025,0.2,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
active,active_recompute,baseline,turn_clock,none,success,proportion_points,40,0.725,0.725,0.0,-0.15,0.15,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
active,active_recompute,baseline,turn_clock,lossy_compaction,success,proportion_points,40,0.725,0.05,-0.675,-0.8,-0.525,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
active,active_recompute,baseline,turn_clock,public_state_reground,success,proportion_points,40,0.85,0.75,-0.1,-0.225,0.0,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
active,active_recompute,baseline,turn_clock,good_bad_watch_feedback,success,proportion_points,40,0.725,0.775,0.05,-0.025,0.15,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
active,active_recompute,baseline,context_use,none,success,proportion_points,40,0.725,0.725,0.0,-0.125,0.125,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
active,active_recompute,baseline,context_use,lossy_compaction,success,proportion_points,40,0.725,0.525,-0.2,-0.35,-0.04937500000000341,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
active,active_recompute,baseline,context_use,public_state_reground,success,proportion_points,40,0.85,0.7,-0.15,-0.275,-0.025,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
active,active_recompute,baseline,context_use,good_bad_watch_feedback,success,proportion_points,40,0.725,0.725,0.0,-0.1,0.1,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,passive,frozen_quiz,none,success,proportion_points,40,0.725,0.75,0.025,-0.05,0.125,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,passive,frozen_quiz,lossy_compaction,success,proportion_points,40,0.8,0.45,-0.35,-0.5,-0.2,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,passive,frozen_quiz,public_state_reground,success,proportion_points,40,0.775,0.675,-0.1,-0.2,-0.025,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,passive,frozen_quiz,good_bad_watch_feedback,success,proportion_points,40,0.75,0.75,0.0,0.0,0.0,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,passive,trace_judge,none,success,proportion_points,40,0.725,0.725,0.0,-0.075,0.075,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,passive,trace_judge,lossy_compaction,success,proportion_points,40,0.8,0.7,-0.1,-0.2,-0.025,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
