analysis_role,paper_class,method,operator,metric,unit,n_tasks,mean,ci_low,ci_high,confidence,bootstrap_iterations,bootstrap_seed,bootstrap_unit
primary_online_natural_policy,active,active_recompute,none,firing_incidence,proportion,40,1.0,1.0,1.0,0.95,2000,12012,paired_source_task
primary_online_natural_policy,active,active_recompute,none,action_incidence,proportion,40,1.0,1.0,1.0,0.95,2000,12012,paired_source_task
primary_online_natural_policy,active,active_recompute,none,firing_rate,proportion_of_observed_checkpoints,40,1.0,1.0,1.0,0.95,2000,12012,paired_source_task
primary_online_natural_policy,active,active_recompute,none,action_rate,proportion_of_observed_checkpoints,40,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.95,2000,12012,paired_source_task
primary_online_natural_policy,active,active_recompute,none,threshold_firings,count,40,6.0,6.0,6.0,0.95,2000,12012,paired_source_task
primary_online_natural_policy,active,active_recompute,none,selected_actions,count,40,1.0,1.0,1.0,0.95,2000,12012,paired_source_task
primary_online_natural_policy,active,active_recompute,none,task_tokens,tokens,40,5232.925,5036.315625,5451.777499999999,0.95,2000,12012,paired_source_task
primary_online_natural_policy,active,active_recompute,none,observer_tokens,tokens,40,4461.775,4328.8675,4615.48,0.95,2000,12012,paired_source_task
primary_online_natural_policy,active,active_recompute,none,total_tokens,tokens,40,9694.7,9368.725,10061.633749999999,0.95,2000,12012,paired_source_task
primary_online_natural_policy,active,active_recompute,none,latency_ms,milliseconds,40,34439.975,32628.58125,36169.706874999996,0.95,2000,12012,paired_source_task
primary_online_natural_policy,active,active_recompute,none,actual_cost_usd,USD,40,0.0036610749999999997,0.0035529581249999997,0.0037688568749999997,0.95,2000,12012,paired_source_task
primary_online_natural_policy,active,active_recompute,lossy_compaction,firing_incidence,proportion,40,1.0,1.0,1.0,0.95,2000,12012,paired_source_task
primary_online_natural_policy,active,active_recompute,lossy_compaction,action_incidence,proportion,40,1.0,1.0,1.0,0.95,2000,12012,paired_source_task
primary_online_natural_policy,active,active_recompute,lossy_compaction,firing_rate,proportion_of_observed_checkpoints,40,1.0,1.0,1.0,0.95,2000,12012,paired_source_task
primary_online_natural_policy,active,active_recompute,lossy_compaction,action_rate,proportion_of_observed_checkpoints,40,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.95,2000,12012,paired_source_task
primary_online_natural_policy,active,active_recompute,lossy_compaction,threshold_firings,count,40,6.0,6.0,6.0,0.95,2000,12012,paired_source_task
primary_online_natural_policy,active,active_recompute,lossy_compaction,selected_actions,count,40,1.0,1.0,1.0,0.95,2000,12012,paired_source_task
primary_online_natural_policy,active,active_recompute,lossy_compaction,task_tokens,tokens,40,5944.0,5761.82375,6129.19875,0.95,2000,12012,paired_source_task
