paper_class,method,operator,control_operator,metric,unit,n_tasks,control_mean,operator_mean,effect,ci_low,ci_high,effect_definition,confidence,bootstrap_iterations,bootstrap_seed,bootstrap_unit
active,active_recompute,lossy_compaction,none,success,proportion_points,40,0.725,0.725,0.0,-0.1,0.1,operator_minus_none,0.95,2000,12012,paired_source_task
active,active_recompute,public_state_reground,none,success,proportion_points,40,0.725,0.85,0.125,0.025,0.225,operator_minus_none,0.95,2000,12012,paired_source_task
active,active_recompute,good_bad_watch_feedback,none,success,proportion_points,40,0.725,0.725,0.0,-0.1,0.1,operator_minus_none,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,lossy_compaction,none,success,proportion_points,40,0.725,0.8,0.075,0.0,0.175,operator_minus_none,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,public_state_reground,none,success,proportion_points,40,0.725,0.775,0.05,-0.05,0.15,operator_minus_none,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,good_bad_watch_feedback,none,success,proportion_points,40,0.725,0.75,0.025,-0.05,0.1,operator_minus_none,0.95,2000,12012,paired_source_task
passive,frozen_quiz,lossy_compaction,none,success,proportion_points,40,0.75,0.45,-0.3,-0.45,-0.15,operator_minus_none,0.95,2000,12012,paired_source_task
passive,frozen_quiz,public_state_reground,none,success,proportion_points,40,0.75,0.675,-0.075,-0.175,0.0,operator_minus_none,0.95,2000,12012,paired_source_task
passive,frozen_quiz,good_bad_watch_feedback,none,success,proportion_points,40,0.75,0.75,0.0,-0.075,0.075,operator_minus_none,0.95,2000,12012,paired_source_task
passive,trace_judge,lossy_compaction,none,success,proportion_points,40,0.725,0.7,-0.025,-0.15,0.1,operator_minus_none,0.95,2000,12012,paired_source_task
passive,trace_judge,public_state_reground,none,success,proportion_points,40,0.725,0.7,-0.025,-0.15,0.075,operator_minus_none,0.95,2000,12012,paired_source_task
passive,trace_judge,good_bad_watch_feedback,none,success,proportion_points,40,0.725,0.675,-0.05,-0.15,0.05,operator_minus_none,0.95,2000,12012,paired_source_task
passive,trace_rules,lossy_compaction,none,success,proportion_points,40,0.75,0.775,0.025,-0.05,0.1,operator_minus_none,0.95,2000,12012,paired_source_task
passive,trace_rules,public_state_reground,none,success,proportion_points,40,0.75,0.725,-0.025,-0.125,0.075,operator_minus_none,0.95,2000,12012,paired_source_task
passive,trace_rules,good_bad_watch_feedback,none,success,proportion_points,40,0.75,0.825,0.075,0.0,0.15,operator_minus_none,0.95,2000,12012,paired_source_task
baseline,turn_clock,lossy_compaction,none,success,proportion_points,40,0.725,0.05,-0.675,-0.8,-0.525,operator_minus_none,0.95,2000,12012,paired_source_task
baseline,turn_clock,public_state_reground,none,success,proportion_points,40,0.725,0.75,0.025,-0.075,0.125,operator_minus_none,0.95,2000,12012,paired_source_task
baseline,turn_clock,good_bad_watch_feedback,none,success,proportion_points,40,0.725,0.775,0.05,-0.05,0.15,operator_minus_none,0.95,2000,12012,paired_source_task
baseline,context_use,lossy_compaction,none,success,proportion_points,40,0.725,0.525,-0.2,-0.35,-0.075,operator_minus_none,0.95,2000,12012,paired_source_task
baseline,context_use,public_state_reground,none,success,proportion_points,40,0.725,0.7,-0.025,-0.1,0.05,operator_minus_none,0.95,2000,12012,paired_source_task
baseline,context_use,good_bad_watch_feedback,none,success,proportion_points,40,0.725,0.725,0.0,-0.1,0.1,operator_minus_none,0.95,2000,12012,paired_source_task
