analysis_role,paper_class,method,operator,metric,unit,n_tasks,mean,ci_low,ci_high,confidence,bootstrap_iterations,bootstrap_seed,bootstrap_unit
controlled_yoked_checkpoint1_sensitivity,active,active_recompute,none,success,proportion,40,0.725,0.6,0.85,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,active,active_recompute,none,action_incidence,proportion,40,1.0,1.0,1.0,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,active,active_recompute,none,action_rate,proportion_of_observed_checkpoints,40,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,active,active_recompute,none,task_tokens,tokens,40,5169.65,4974.579375,5365.228125000001,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,active,active_recompute,none,observer_tokens,tokens,40,4410.525,4274.641874999999,4558.5581250000005,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,active,active_recompute,none,total_tokens,tokens,40,9580.175,9269.126250000001,9912.591874999998,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,active,active_recompute,none,latency_ms,milliseconds,40,31670.6,29339.305625,35060.116875,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,active,active_recompute,none,actual_cost_usd,USD,40,0.00363885,0.00352407125,0.00375481125,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,active,active_recompute,lossy_compaction,success,proportion,40,0.825,0.7,0.925,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,active,active_recompute,lossy_compaction,action_incidence,proportion,40,1.0,1.0,1.0,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,active,active_recompute,lossy_compaction,action_rate,proportion_of_observed_checkpoints,40,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,active,active_recompute,lossy_compaction,task_tokens,tokens,40,6006.025,5807.454374999999,6212.503125,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,active,active_recompute,lossy_compaction,observer_tokens,tokens,40,5088.025,4968.686874999999,5220.576875,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,active,active_recompute,lossy_compaction,total_tokens,tokens,40,11094.05,10783.7025,11425.0525,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,active,active_recompute,lossy_compaction,latency_ms,milliseconds,40,31570.175,30399.23125,32679.240625000002,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,active,active_recompute,lossy_compaction,actual_cost_usd,USD,40,0.0037734749999999997,0.0036574300000000006,0.003899239375,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,active,active_recompute,public_state_reground,success,proportion,40,0.75,0.6,0.875,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,active,active_recompute,public_state_reground,action_incidence,proportion,40,1.0,1.0,1.0,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,active,active_recompute,public_state_reground,action_rate,proportion_of_observed_checkpoints,40,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,active,active_recompute,public_state_reground,task_tokens,tokens,40,5330.125,5131.075,5540.9193749999995,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,active,active_recompute,public_state_reground,observer_tokens,tokens,40,4486.425,4373.986875,4609.929375000001,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,active,active_recompute,public_state_reground,total_tokens,tokens,40,9816.55,9524.48125,10129.896874999999,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,active,active_recompute,public_state_reground,latency_ms,milliseconds,40,33570.15,31969.03,35270.825,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,active,active_recompute,public_state_reground,actual_cost_usd,USD,40,0.00381475,0.00366641125,0.003966250624999999,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,passive,frozen_probe:recompute,none,success,proportion,40,0.75,0.625,0.875,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,passive,frozen_probe:recompute,none,action_incidence,proportion,40,1.0,1.0,1.0,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,passive,frozen_probe:recompute,none,action_rate,proportion_of_observed_checkpoints,40,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,passive,frozen_probe:recompute,none,task_tokens,tokens,40,3826.45,3591.308125,4061.46125,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,passive,frozen_probe:recompute,none,observer_tokens,tokens,40,0.0,0.0,0.0,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,passive,frozen_probe:recompute,none,total_tokens,tokens,40,3826.45,3591.308125,4061.46125,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,passive,frozen_probe:recompute,none,latency_ms,milliseconds,40,19266.05,18076.440625,20403.490625,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,passive,frozen_probe:recompute,none,actual_cost_usd,USD,40,0.00205655,0.00190144375,0.002213755625,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,passive,frozen_probe:recompute,lossy_compaction,success,proportion,40,0.775,0.625,0.9,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,passive,frozen_probe:recompute,lossy_compaction,action_incidence,proportion,40,1.0,1.0,1.0,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,passive,frozen_probe:recompute,lossy_compaction,action_rate,proportion_of_observed_checkpoints,40,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,passive,frozen_probe:recompute,lossy_compaction,task_tokens,tokens,40,4379.475,4182.483125,4591.455,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,passive,frozen_probe:recompute,lossy_compaction,observer_tokens,tokens,40,0.0,0.0,0.0,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,passive,frozen_probe:recompute,lossy_compaction,total_tokens,tokens,40,4379.475,4182.483125,4591.455,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,passive,frozen_probe:recompute,lossy_compaction,latency_ms,milliseconds,40,20030.275,18713.2025,21419.400625,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,passive,frozen_probe:recompute,lossy_compaction,actual_cost_usd,USD,40,0.0022499499999999997,0.002087114375,0.00242000375,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,passive,frozen_probe:recompute,public_state_reground,success,proportion,40,0.725,0.575,0.85,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,passive,frozen_probe:recompute,public_state_reground,action_incidence,proportion,40,1.0,1.0,1.0,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,passive,frozen_probe:recompute,public_state_reground,action_rate,proportion_of_observed_checkpoints,40,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,passive,frozen_probe:recompute,public_state_reground,task_tokens,tokens,40,4191.375,3974.099375,4405.6431250000005,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,passive,frozen_probe:recompute,public_state_reground,observer_tokens,tokens,40,0.0,0.0,0.0,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,passive,frozen_probe:recompute,public_state_reground,total_tokens,tokens,40,4191.375,3974.099375,4405.6431250000005,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,passive,frozen_probe:recompute,public_state_reground,latency_ms,milliseconds,40,20567.05,19105.545625,22124.420000000002,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,passive,frozen_probe:recompute,public_state_reground,actual_cost_usd,USD,40,0.0021945,0.002018415,0.0023776018750000004,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,turn_clock,none,success,proportion,40,0.725,0.575,0.85,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,turn_clock,none,action_incidence,proportion,40,1.0,1.0,1.0,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,turn_clock,none,action_rate,proportion_of_observed_checkpoints,40,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,turn_clock,none,task_tokens,tokens,40,3784.85,3554.1581250000004,4017.8181250000002,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,turn_clock,none,observer_tokens,tokens,40,0.0,0.0,0.0,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,turn_clock,none,total_tokens,tokens,40,3784.85,3554.1581250000004,4017.8181250000002,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,turn_clock,none,latency_ms,milliseconds,40,19419.3,18340.9875,20453.029375000002,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,turn_clock,none,actual_cost_usd,USD,40,0.002020475,0.001863981875,0.0021785937499999995,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,turn_clock,lossy_compaction,success,proportion,40,0.7,0.55,0.825,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,turn_clock,lossy_compaction,action_incidence,proportion,40,1.0,1.0,1.0,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,turn_clock,lossy_compaction,action_rate,proportion_of_observed_checkpoints,40,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,turn_clock,lossy_compaction,task_tokens,tokens,40,4315.3,4118.484375,4520.974375,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,turn_clock,lossy_compaction,observer_tokens,tokens,40,0.0,0.0,0.0,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,turn_clock,lossy_compaction,total_tokens,tokens,40,4315.3,4118.484375,4520.974375,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,turn_clock,lossy_compaction,latency_ms,milliseconds,40,20202.0,18920.88125,21524.265,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,turn_clock,lossy_compaction,actual_cost_usd,USD,40,0.0022082,0.00205274,0.002366383125,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,turn_clock,public_state_reground,success,proportion,40,0.775,0.625,0.9,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,turn_clock,public_state_reground,action_incidence,proportion,40,1.0,1.0,1.0,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,turn_clock,public_state_reground,action_rate,proportion_of_observed_checkpoints,40,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,turn_clock,public_state_reground,task_tokens,tokens,40,4171.25,3954.655625,4390.976875,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,turn_clock,public_state_reground,observer_tokens,tokens,40,0.0,0.0,0.0,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,turn_clock,public_state_reground,total_tokens,tokens,40,4171.25,3954.655625,4390.976875,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,turn_clock,public_state_reground,latency_ms,milliseconds,40,20629.7,19175.556249999998,22090.58625,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,turn_clock,public_state_reground,actual_cost_usd,USD,40,0.0021536,0.0019874625,0.002325134375,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,context_use,none,success,proportion,40,0.75,0.625,0.875,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,context_use,none,action_incidence,proportion,40,1.0,1.0,1.0,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,context_use,none,action_rate,proportion_of_observed_checkpoints,40,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,context_use,none,task_tokens,tokens,40,3882.625,3651.270625,4130.82875,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,context_use,none,observer_tokens,tokens,40,0.0,0.0,0.0,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,context_use,none,total_tokens,tokens,40,3882.625,3651.270625,4130.82875,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,context_use,none,latency_ms,milliseconds,40,20037.65,18632.593125,21452.851249999996,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,context_use,none,actual_cost_usd,USD,40,0.0020806749999999997,0.0019132687500000001,0.0022512912499999998,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,context_use,lossy_compaction,success,proportion,40,0.75,0.6,0.875,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,context_use,lossy_compaction,action_incidence,proportion,40,1.0,1.0,1.0,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,context_use,lossy_compaction,action_rate,proportion_of_observed_checkpoints,40,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,context_use,lossy_compaction,task_tokens,tokens,40,4360.55,4177.2075,4548.45375,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,context_use,lossy_compaction,observer_tokens,tokens,40,0.0,0.0,0.0,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,context_use,lossy_compaction,total_tokens,tokens,40,4360.55,4177.2075,4548.45375,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,context_use,lossy_compaction,latency_ms,milliseconds,40,19451.25,18187.91375,20831.9825,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,context_use,lossy_compaction,actual_cost_usd,USD,40,0.0022190499999999998,0.00206923,0.0023698243749999998,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,context_use,public_state_reground,success,proportion,40,0.75,0.625,0.875,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,context_use,public_state_reground,action_incidence,proportion,40,1.0,1.0,1.0,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,context_use,public_state_reground,action_rate,proportion_of_observed_checkpoints,40,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,context_use,public_state_reground,task_tokens,tokens,40,4193.125,3981.7425000000003,4417.7425,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,context_use,public_state_reground,observer_tokens,tokens,40,0.0,0.0,0.0,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,context_use,public_state_reground,total_tokens,tokens,40,4193.125,3981.7425000000003,4417.7425,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,context_use,public_state_reground,latency_ms,milliseconds,40,20261.35,18973.93,21467.67,0.95,2000,12012,paired_source_task
controlled_yoked_checkpoint1_sensitivity,baseline,context_use,public_state_reground,actual_cost_usd,USD,40,0.0021874250000000002,0.002026699375,0.002350633125,0.95,2000,12012,paired_source_task
