reference_class,reference_method,comparison_class,comparison_method,operator,metric,unit,n_tasks,reference_mean,comparison_mean,effect,ci_low,ci_high,effect_definition,confidence,bootstrap_iterations,bootstrap_seed,bootstrap_unit
active,active_recompute,passive,frozen_probe:recompute,none,success,proportion_points,40,0.725,0.75,0.025,-0.075,0.125,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
active,active_recompute,passive,frozen_probe:recompute,lossy_compaction,success,proportion_points,40,0.825,0.775,-0.05,-0.125,0.0,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
active,active_recompute,passive,frozen_probe:recompute,public_state_reground,success,proportion_points,40,0.75,0.725,-0.025,-0.175,0.125,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
active,active_recompute,baseline,turn_clock,none,success,proportion_points,40,0.725,0.725,0.0,-0.125,0.125,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
active,active_recompute,baseline,turn_clock,lossy_compaction,success,proportion_points,40,0.825,0.7,-0.125,-0.225,-0.025,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
active,active_recompute,baseline,turn_clock,public_state_reground,success,proportion_points,40,0.75,0.775,0.025,-0.1,0.15,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
active,active_recompute,baseline,context_use,none,success,proportion_points,40,0.725,0.75,0.025,-0.05,0.125,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
active,active_recompute,baseline,context_use,lossy_compaction,success,proportion_points,40,0.825,0.75,-0.075,-0.175,0.0,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
active,active_recompute,baseline,context_use,public_state_reground,success,proportion_points,40,0.75,0.75,0.0,-0.125,0.125,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,baseline,turn_clock,none,success,proportion_points,40,0.75,0.725,-0.025,-0.075,0.0,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,baseline,turn_clock,lossy_compaction,success,proportion_points,40,0.775,0.7,-0.075,-0.175,0.025,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,baseline,turn_clock,public_state_reground,success,proportion_points,40,0.725,0.775,0.05,-0.05,0.15,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,baseline,context_use,none,success,proportion_points,40,0.75,0.75,0.0,-0.075,0.075,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,baseline,context_use,lossy_compaction,success,proportion_points,40,0.775,0.75,-0.025,-0.075,0.0,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,baseline,context_use,public_state_reground,success,proportion_points,40,0.725,0.75,0.025,-0.05,0.1,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
baseline,turn_clock,baseline,context_use,none,success,proportion_points,40,0.725,0.75,0.025,-0.05,0.1,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
baseline,turn_clock,baseline,context_use,lossy_compaction,success,proportion_points,40,0.7,0.75,0.05,-0.05,0.15,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
baseline,turn_clock,baseline,context_use,public_state_reground,success,proportion_points,40,0.775,0.75,-0.025,-0.125,0.075,comparison_method_minus_reference_method,0.95,2000,12012,paired_source_task
