reference_class,reference_method,comparison_class,comparison_method,operator,control_operator,metric,unit,n_tasks,effect,ci_low,ci_high,effect_definition,confidence,bootstrap_iterations,bootstrap_seed,bootstrap_unit
active,active_recompute,passive,frozen_probe:recompute,lossy_compaction,none,success,proportion_points,40,-0.075,-0.225,0.05,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
active,active_recompute,passive,frozen_probe:recompute,public_state_reground,none,success,proportion_points,40,-0.05,-0.225,0.125,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
active,active_recompute,baseline,turn_clock,lossy_compaction,none,success,proportion_points,40,-0.125,-0.275,0.0,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
active,active_recompute,baseline,turn_clock,public_state_reground,none,success,proportion_points,40,0.025,-0.1,0.15,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
active,active_recompute,baseline,context_use,lossy_compaction,none,success,proportion_points,40,-0.1,-0.25,0.025,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
active,active_recompute,baseline,context_use,public_state_reground,none,success,proportion_points,40,-0.025,-0.15,0.1,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,baseline,turn_clock,lossy_compaction,none,success,proportion_points,40,-0.05,-0.175,0.075,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,baseline,turn_clock,public_state_reground,none,success,proportion_points,40,0.075,-0.025,0.2,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,baseline,context_use,lossy_compaction,none,success,proportion_points,40,-0.025,-0.1,0.05,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
passive,frozen_probe:recompute,baseline,context_use,public_state_reground,none,success,proportion_points,40,0.025,-0.1,0.15,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
baseline,turn_clock,baseline,context_use,lossy_compaction,none,success,proportion_points,40,0.025,-0.075,0.125,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
baseline,turn_clock,baseline,context_use,public_state_reground,none,success,proportion_points,40,-0.05,-0.15,0.05,(comparison-reference)_operator_minus_(comparison-reference)_none,0.95,2000,12012,paired_source_task
