benchmark,model,method,observation_class,provider_backed,n_tasks,tasks_with_provider_calls,providers,observer_models,cost_qualities,sum_checkpoint_count,median_checkpoint_count,sum_provider_call_count,median_provider_call_count,sum_input_tokens,median_input_tokens,sum_output_tokens,median_output_tokens,sum_total_tokens,median_total_tokens,sum_cached_input_tokens,median_cached_input_tokens,sum_reasoning_tokens,median_reasoning_tokens,sum_latency_ms,median_latency_ms,sum_cost_micro_usd,median_cost_micro_usd,sum_cost_usd,median_cost_usd
bfcl_multi_turn,gpt-5.6-luna,active_recompute,active_carry,True,56,52,openai,gpt-5.6-luna,estimated,140,3,140,3,100514,1302,13620,266,114134,1619,15573,0,11800,227,325826,6003.5,37956,668.5,0.037956,0.0006685
bfcl_multi_turn,gpt-5.6-luna,frozen_probe:recompute,passive_zero_carry,True,56,52,openai,gpt-5.6-luna,estimated,140,3,140,3,87968,1097.5,15353,307.5,103321,1324,0,0,13533,268.5,308752,5852.5,40481,628,0.040481,0.000628
bfcl_multi_turn,gpt-5.6-luna,frozen_probe:current_copy,passive_zero_carry,True,56,52,openai,gpt-5.6-luna,estimated,140,3,140,3,87914,1097.5,8528,164.5,96442,1221.5,0,0,6452,120,263812,4741,32283,472,0.032283,0.000472
bfcl_multi_turn,gpt-5.6-luna,frozen_quiz,passive_zero_carry,True,56,52,openai,gpt-5.6-luna,estimated,140,3,140,3,96409,1225,23515,463.5,119924,1700.5,0,0,18197,362,395863,7881,52392,883,0.052392,0.000883
bfcl_multi_turn,gpt-5.6-luna,trace_judge,passive_zero_carry,True,56,52,openai,gpt-5.6-sol,estimated,140,3,140,3,134990,2033,18528,329,153518,2378.5,0,0,9422,158,551200,9646.5,1045510,16632.5,1.045510,0.0166325
bfcl_multi_turn,gpt-5.6-luna,trace_rules,passive_zero_carry,False,56,0,,,,140,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
bfcl_multi_turn,gpt-5.6-luna,turn_clock,passive_zero_carry,False,56,0,,,,140,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
bfcl_multi_turn,gpt-5.6-luna,context_use,passive_zero_carry,False,56,0,,,,140,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
bfcl_multi_turn,gpt-5.6-terra,active_recompute,active_carry,True,56,52,openai,gpt-5.6-terra,estimated,140,3,140,3,90430,1329,11966,228.5,102396,1536.5,8251,0,10146,189.5,335307,6331,350729,6295,0.350729,0.006295
bfcl_multi_turn,gpt-5.6-terra,frozen_probe:recompute,passive_zero_carry,True,56,52,openai,gpt-5.6-terra,estimated,140,3,140,3,89171,1108.5,13195,268,102366,1420,0,0,11375,229,380875,7038,381305,5895.5,0.381305,0.0058955
