model,benchmark,reference_observation_class,reference_method,comparison_observation_class,comparison_method,operator,estimand,metric,unit,favorable_direction,n_tasks,reference_mean,comparison_mean,effect,ci_low,ci_high,confidence,bootstrap_iterations,bootstrap_seed,effect_definition,bootstrap_unit
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,baseline,context_use,lossy_compaction,yoked_anchor,success,proportion,higher,40,0.825,0.75,-0.075,-0.175,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,baseline,context_use,lossy_compaction,yoked_anchor,action_rate,proportion_of_observed_checkpoints,descriptive,40,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,baseline,context_use,lossy_compaction,yoked_anchor,acted_on_task,proportion,descriptive,40,1.0,1.0,0.0,0.0,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,baseline,context_use,lossy_compaction,yoked_anchor,scheduled_actions,count,descriptive,40,1.0,1.0,0.0,0.0,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,baseline,context_use,lossy_compaction,yoked_anchor,applied_interventions,count,descriptive,40,1.0,1.0,0.0,0.0,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,baseline,context_use,lossy_compaction,yoked_anchor,task_tokens,tokens,lower,40,6006.025,4360.55,-1645.475,-1753.8274999999999,-1536.0125000000003,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,baseline,context_use,lossy_compaction,yoked_anchor,observer_tokens,tokens,lower,40,5088.025,0.0,-5088.025,-5216.178749999999,-4965.9275,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,baseline,context_use,lossy_compaction,yoked_anchor,total_tokens,tokens,lower,40,11094.05,4360.55,-6733.5,-6934.171874999999,-6548.8325,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,baseline,context_use,lossy_compaction,yoked_anchor,latency_ms,milliseconds,lower,40,31570.175,19451.25,-12118.925,-13284.383749999999,-10983.836875,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,baseline,context_use,lossy_compaction,yoked_anchor,actual_cost_usd,USD,lower,40,0.0037734749999999997,0.0022190499999999998,-0.001554425,-0.00164437875,-0.00145219125,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,baseline,context_use,lossy_compaction,yoked_anchor,reported_cost_usd,USD,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,baseline,context_use,lossy_compaction,yoked_anchor,estimated_cost_usd,USD,lower,40,0.0037734749999999997,0.0022190499999999998,-0.001554425,-0.0016563249999999997,-0.001451643125,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
