model,benchmark,observation_class,method,operator,estimand,metric,unit,favorable_direction,n_tasks,mean,ci_low,ci_high,confidence,bootstrap_iterations,bootstrap_seed,bootstrap_unit
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,lossy_compaction,yoked_anchor,success,proportion,higher,40,0.825,0.7,0.925,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,lossy_compaction,yoked_anchor,action_rate,proportion_of_observed_checkpoints,descriptive,40,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,lossy_compaction,yoked_anchor,acted_on_task,proportion,descriptive,40,1.0,1.0,1.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,lossy_compaction,yoked_anchor,scheduled_actions,count,descriptive,40,1.0,1.0,1.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,lossy_compaction,yoked_anchor,applied_interventions,count,descriptive,40,1.0,1.0,1.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,lossy_compaction,yoked_anchor,task_tokens,tokens,lower,40,6006.025,5803.813749999999,6208.568125,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,lossy_compaction,yoked_anchor,observer_tokens,tokens,lower,40,5088.025,4965.935,5226.016875,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,lossy_compaction,yoked_anchor,total_tokens,tokens,lower,40,11094.05,10788.72875,11411.080625000002,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,lossy_compaction,yoked_anchor,latency_ms,milliseconds,lower,40,31570.175,30409.64375,32742.429374999996,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,lossy_compaction,yoked_anchor,actual_cost_usd,USD,lower,40,0.0037734749999999997,0.0036518450000000004,0.0039016187500000004,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,lossy_compaction,yoked_anchor,reported_cost_usd,USD,lower,40,0.0,0.0,0.0,0.95,2000,12012,source_task
