model,benchmark,observation_class,method,operator,control_operator,estimand,metric,unit,favorable_direction,n_tasks,control_mean,operator_mean,effect,ci_low,ci_high,confidence,bootstrap_iterations,bootstrap_seed,effect_definition,bootstrap_unit
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,lossy_compaction,none,yoked_anchor,success,proportion,higher,40,0.725,0.825,0.1,-0.0006249999999988987,0.225,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,lossy_compaction,none,yoked_anchor,action_rate,proportion_of_observed_checkpoints,descriptive,40,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,lossy_compaction,none,yoked_anchor,acted_on_task,proportion,descriptive,40,1.0,1.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,lossy_compaction,none,yoked_anchor,scheduled_actions,count,descriptive,40,1.0,1.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,lossy_compaction,none,yoked_anchor,applied_interventions,count,descriptive,40,1.0,1.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,lossy_compaction,none,yoked_anchor,task_tokens,tokens,lower,40,5169.65,6006.025,836.375,740.1912500000001,929.3124999999999,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,lossy_compaction,none,yoked_anchor,observer_tokens,tokens,lower,40,4410.525,5088.025,677.5,612.44875,744.92625,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,lossy_compaction,none,yoked_anchor,total_tokens,tokens,lower,40,9580.175,11094.05,1513.875,1355.1699999999998,1670.504375,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,lossy_compaction,none,yoked_anchor,latency_ms,milliseconds,lower,40,31670.6,31570.175,-100.425,-3430.92,2357.701874999998,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,lossy_compaction,none,yoked_anchor,actual_cost_usd,USD,lower,40,0.00363885,0.0037734749999999997,0.00013462499999999995,5.909499999999996e-05,0.00020940374999999997,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,lossy_compaction,none,yoked_anchor,reported_cost_usd,USD,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,lossy_compaction,none,yoked_anchor,estimated_cost_usd,USD,lower,40,0.00363885,0.0037734749999999997,0.00013462499999999995,6.152437500000002e-05,0.0002139506249999999,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,lossy_compaction,none,yoked_anchor,upper_bound_cost_usd,USD,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
